Düsseldorf-Derendorf,4,Düsseldorf,"{'type': 'Point', 'coordinates': [6.794512, 51.247624]}"
Düsseldorf-Reisholz,4,Düsseldorf,"{'type': 'Point', 'coordinates': [6.860953, 51.180782]}"
Düsseldorf-Reisholz,4,Düsseldorf,"{'type': 'Point', 'coordinates': [6.860953, 51.180782]}"
Düsseldorf-Unterrath,4,Düsseldorf,"{'type': 'Point', 'coordinates': [6.788783, 51.276732]}"
Eberbach,3,Eberbach,"{'type': 'Point', 'coordinates': [8.984152, 49.465768]}"
Ebersbach (Fils),4,Ebersbach (Fils),"{'type': 'Point', 'coordinates': [9.526582, 48.71612]}"
Ebersberg (Oberbay),4,Ebersberg (Oberbay),"{'type': 'Point', 'coordinates': [11.970243, 48.07497]}"
Eberswalde Hbf,3,Eberswalde,"{'type': 'Point', 'coordinates': [13.797062, 52.834021]}"
Echterdingen,4,Echterdingen,"{'type': 'Point', 'coordinates': [9.169164, 48.692152]}"
Efringen-Kirchen,4,Efringen-Kirchen,"{'type': 'Point', 'coordinates': [7.563918, 47.655619]}"
Eglharting,4,Kirchseeon,"{'type': 'Point', 'coordinates': [11.864291, 48.082348]}"
Ehingen (Donau),4,Ehingen (Donau),"{'type': 'Point', 'coordinates': [9.72434, 48.285677]}"
Ehningen (b Böblingen),4,Ehningen ,"{'type': 'Point', 'coordinates': [8.94426, 48.662682]}"
Eichenberg,4,Neu-Eichenberg,"{'type': 'Point', 'coordinates': [9.921482, 51.374823]}"
Eichstätt Bahnhof,4,Eichstätt,"{'type': 'Point', 'coordinates': [11.16365, 48.869879]}"
Eidelstedt (S-Bahn),3,Hamburg,"{'type': 'Point', 'coordinates': [9.907097, 53.595887]}"
Eidelstedt (S-Bahn),3,Hamburg,"{'type': 'Point', 'coordinates': [9.907097, 53.595887]}"
Eilenburg,4,Eilenburg,"{'type': 'Point', 'coordinates': [12.6370132, 51.4518507]}"
Eisenach,3,Eisenach,"{'type': 'Point', 'coordinates': [10.331986, 50.976922]}"
Eisenach,3,Eisenach,"{'type': 'Point', 'coordinates': [10.331986, 50.976922]}"
Eislingen (Fils),4,Eislingen (Fils),"{'type': 'Point', 'coordinates': [9.705147, 48.696494]}"
Elbgaustraße (S-Bahn),4,Hamburg,"{'type': 'Point', 'coordinates': [9.893738, 53.602575]}"
Elbgaustraße (S-Bahn),4,Hamburg,"{'type': 'Point', 'coordinates': [9.893738, 53.602575]}"
Elmshorn,3,Elmshorn,"{'type': 'Point', 'coordinates': [9.659408, 53.754025]}"
Elmshorn,3,Elmshorn,"{'type': 'Point', 'coordinates': [9.659408, 53.754025]}"
Elsterwerda,4,Elsterwerda,"{'type': 'Point', 'coordinates': [13.516428, 51.459677]}"
Elze (Han),4,Elze ,"{'type': 'Point', 'coordinates': [9.746894, 52.120147]}"
Emden Hbf,3,Emden,"{'type': 'Point', 'coordinates': [7.195176, 53.369036]}"
Emmendingen,4,Emmendingen,"{'type': 'Point', 'coordinates': [7.847511, 48.119454]}"
Emmerich,4,Emmerich,"{'type': 'Point', 'coordinates': [6.25648, 51.834175]}"
Emsdetten,4,Emsdetten,"{'type': 'Point', 'coordinates': [7.531528, 52.17675]}"
Endersbach,4,Weinstadt,"{'type': 'Point', 'coordinates': [9.370228, 48.813153]}"
Engen,4,Engen ,"{'type': 'Point', 'coordinates': [8.772786, 47.856347]}"
